101;Sao Sebastiao do Oeste;http://www.saosebastiaodooeste-mg.vivver.com
102;Sao Sebastiao do Paraiso;http://www.saosebastiaodoparaiso-mg.vivver.com
103;Sarzedo;http://www.sarzedo-mg.vivver.com
104;Serrania;http://www.serrania-mg.vivver.com
105;Sete Lagoas;http://www.setelagoas-mg.vmx.io
106;Simao Pereira;http://simaopereira-mg.vivver.com
107;Sorocaba;http://sisweb.sorocaba.sp.gov.br
108;Taiobeiras;http://www.taiobeiras-mg.vivver.com
109;Timoteo;http://timoteo-mg.vivver.com
110;Ubai;http://www.ubai-mg.vivver.com
111;Urucania;http://www.urucania-mg.vivver.com
112;Varzea da palma;http://www.varzeadapalma-mg.vivver.com
